rno,capacity
东A101,90
东A102,90
东A103,90
东A104,90
东A201,90
东A202,90
东A203,90
东A204,90
东A301,90
东A302,90
东A303,90
东A304,90
东A401,90
东A402,90
东A403,90
东A404,90
东B101,135
东B102,135
东B201,135
东B202,135
东B301,135
东B302,135
东B401,135
东B402,135
东201,180
东202,180
东301,180
东302,180
西A101,90
西A102,90
西A103,90
西A104,90
西A201,90
西A202,90
西A203,90
西A204,90
西A301,90
西A302,90
西A303,90
西A304,90
西A401,90
西A402,90
西A403,90
西A404,90
西B101,135
西B102,135
西B201,135
西B202,135
西B301,135
西B302,135
西B401,135
西B402,135
西101,90
西102,90
西201,180
西202,180
西301,180
西302,180
南A101,90
南A102,90
南A103,90
南A104,90
南A105,90
南A106,90
南A107,90
南A108,90
南A109,90
南A110,90
南A201,90
南A202,90
南A203,90
南A204,90
南A205,90
南A206,90
南A207,90
南A208,90
南A209,90
南A210,90
南A301,90
南A302,90
南A303,90
南A304,90
南A305,90
南A306,90
南A307,90
南A308,90
南A309,90
南A310,90
南B101,90
南B102,90
南B103,90
南B104,90
南B105,90
南B106,90
南B107,90
南B108,90
南B109,90
南B110,90
南B111,90
南B112,90
南B201,50
南B202,50
南B203,50
南B204,50
南B205,50
南B206,50
南B207,50
南B208,50
南B209,50
南B210,50
南B211,50
南B212,50
南B301,50
南B302,50
南B303,50
南B304,50
南B305,50
南B306,50
南B307,50
南B308,50
南B309,50
南B310,50
南B311,50
南B312,50
南B401,50
南B402,50
南B403,50
南B404,50
南B405,50
南B406,50
南B407,50
南B408,50
南B409,50
南B410,50
南B411,50
南B412,50
南B501,50
南B502,50
南B503,50
南B504,50
南B505,50
南B506,50
南B507,50
南B508,50
南B509,50
南B510,50
南B511,50
南B512,50
南B601,50
南B602,50
南B603,50
南B604,50
南B605,50
南B606,50
文理A101,60
文理A102,60
文理A103,60
文理A104,60
文理A105,60
文理A106,60
文理A107,60
文理A108,60
文理A109,60
文理A110,60
文理A111,60
文理A112,60
文理A201,60
文理A202,60
文理A203,60
文理A204,60
文理A205,60
文理A206,60
文理A207,60
文理A208,60
文理A209,60
文理A210,60
文理A211,60
文理A212,60
文理A301,60
文理A302,60
文理A303,60
文理A304,60
文理A305,60
文理A306,60
文理A307,60
文理A308,60
文理A309,60
文理A310,60
文理A311,60
文理A312,60
文理A401,60
文理A402,60
文理A403,60
文理A404,60
文理A405,60
文理A406,60
文理A407,60
文理A408,60
文理A409,60
文理A410,60
文理A411,60
文理A412,60
文理B101,160
文理B102,160
文理B103,60
文理B104,60
文理B105,60
文理B106,60
文理B107,60
文理B108,60
文理B109,60
文理B110,60
文理B111,60
文理B112,60
文理B201,160
文理B202,160
文理B203,60
文理B204,60
文理B205,60
文理B206,60
文理B207,60
文理B208,60
文理B209,60
文理B210,60
文理B211,60
文理B212,60
文理B301,160
文理B302,160
文理B303,60
文理B304,60
文理B305,60
文理B306,60
文理B307,60
文理B308,60
文理B309,60
文理B310,60
文理B311,60
文理B312,60
文理B401,60
文理B402,60
文理B403,60
文理B404,60
文理B405,60
文理B406,60
文理B407,60
文理B408,60
文理B409,60
文理B410,60
文理B411,60
文理B412,60
艺设101,50
艺设102,50
艺设103,50
艺设104,50
艺设105,50
艺设106,50
艺设107,50
艺设108,50
艺设109,50
艺设110,50
艺设201,50
艺设202,50
艺设203,50
艺设204,50
艺设205,50
艺设206,50
艺设207,50
艺设208,50
艺设209,50
艺设210,50
